WORD,VADER,STD
g1,0.35,0.4899
gg,0.3,0.74833
gga,0.425,0.45826
gigo,-0.15,1.11355
gj,0.5,1.0
gl,0.325,0.64031
gla,0.625,0.92195
gn,0.3,0.74833
gr8,0.675,0.78102
grrr,-0.1,1.42829
gt,0.275,0.53852
h&k,0.575,0.78102
hagd,0.55,0.87178
hagn,0.55,0.87178
hago,0.3,0.4
hak,0.475,0.7
hand,0.55,0.87178
hho1/2k,0.35,1.11355
hhoj,0.5,1.09545
hhok,0.225,0.9434
hugz,0.5,0.7746
hi5,0.475,0.53852
idk,-0.1,0.66332
ijs,0.175,1.84662
ilu,0.85,0.66332
iluaaf,0.675,1.1
ily,0.85,0.66332
ily2,0.65,0.66332
iou,0.175,1.34536
iyq,0.575,1.18743
j/j,0.5,1.34164
j/k,0.4,1.2
j/p,0.35,0.66332
j/t,-0.05,1.46969
j/w,0.25,1.0
j4f,0.35,0.8
j4g,0.425,1.18743
jho,0.2,0.4
jhomf,0.25,0.63246
jj,0.25,0.63246
jk,0.225,1.22066
jp,0.2,0.74833
jt,0.225,0.83066
jw,0.4,1.68523
jealz,-0.3,0.9798
k4y,0.575,1.00499
kfy,0.575,0.64031
kia,-0.8,0.6
kk,0.375,1.0247
kmuf,0.55,1.4
l,0.5,0.7746
l&r,0.55,0.74833
laoj,0.325,1.73494
lmao,0.5,1.18322
lmbao,0.45,1.77764
lmfao,0.625,1.28452
lmso,0.675,0.78102
lol,0.725,0.83066
lolz,0.675,0.78102
lts,0.4,0.66332
ly,0.65,0.91652
ly4e,0.675,0.78102
lya,0.825,0.78102
lyb,0.75,0.63246
lyl,0.775,0.7
lylab,0.675,0.78102
lylas,0.65,0.8
lylb,0.4,1.56205
m8,0.35,1.0198
mia,-0.3,0.4
mml,0.5,1.0
mofo,-0.6,2.2
muah,0.7,1.07703
mubar,-0.25,2.36643
musm,0.225,2.07123
mwah,0.625,0.80623
n1,0.475,1.04403
nbd,0.325,1.34536
nbif,-0.125,0.67082
nfc,-0.675,0.9
nfw,-0.6,1.0198
nh,0.55,0.6
nimby,-0.2,0.6
nimjd,-0.175,0.78102
nimq,-0.05,0.6
nimy,-0.35,1.68523
nitl,-0.375,0.92195
nme,-0.525,1.13578
noyb,-0.175,1.67631
np,0.35,1.0198
ntmu,0.35,0.66332
o-8,-0.125,1.5
o-:,-0.075,1.18743
o-|,-0.275,0.53852
o.o,-0.15,0.8
O.o,-0.15,0.8
o.O,-0.15,0.8
o:,-0.05,0.87178
o:),0.375,0.67082
o:-),0.5,1.18322
o:-3,0.55,0.9798
o:3,0.575,0.78102
o:<,-0.075,1.1
o;^),0.4,0.8
ok,0.4,1.42829
o_o,-0.125,0.92195
O_o,-0.125,0.92195
o_O,-0.125,0.92195
pita,-0.6,1.2
pls,0.075,0.45826
plz,0.075,0.45826
pmbi,0.2,1.32665
pmfji,0.075,0.78102
pmji,0.175,1.00499
po,-0.65,0.91652
ptl,0.65,1.11355
pu,-0.275,1.3
qq,-0.55,0.6
qt,0.45,0.6
r&r,0.6,1.0198
rofl,0.675,0.78102
roflmao,0.625,1.11803
rotfl,0.65,0.66332
rotflmao,0.7,1.07703
rotflmfao,0.625,1.11803
rotflol,0.75,1.09545
rotgl,0.725,0.7
rotglmao,0.45,2.4
s:,-0.275,0.83066
sapfu,-0.275,1.57797
sete,0.7,0.87178
sfete,0.675,0.78102
sgtm,0.6,1.0198
slap,0.15,2.15407
slaw,0.525,1.04403
smh,-0.325,0.64031
snafu,-0.625,1.11803
sob,-0.7,0.9798
swak,0.575,1.00499
tgif,0.575,1.34536
thks,0.35,0.4899
thx,0.375,0.92195
tia,0.575,0.9
tmi,-0.075,1.61555
tnx,0.275,0.53852
true,0.45,1.32665
tx,0.375,0.92195
txs,0.275,0.7
ty,0.4,0.66332
tyvm,0.625,1.11803
urw,0.475,1.13578
vbg,0.525,1.75784
vbs,0.775,0.53852
vip,0.575,1.00499
vwd,0.65,0.91652
vwp,0.525,0.7
wag,-0.05,0.74833
wd,0.675,1.1
wilco,0.225,0.9434
wp,0.25,0.0
wtf,-0.7,0.74833
wtg,0.525,0.7
wth,-0.6,0.4899
x-d,0.675,0.78102
x-p,0.45,0.87178
xd,0.675,0.9
xlnt,0.75,0.89443
xoxo,0.75,0.7746
xoxozzz,0.575,0.78102
xp,0.3,0.4
xqzt,0.4,1.42829
xtc,0.2,1.93907
yolo,0.275,0.83066
yoyo,0.1,1.85472
yvw,0.4,0.4899
yw,0.45,1.32665
ywia,0.625,1.11803
zzz,-0.3,0.87178
[-;,0.125,1.28452
[:,0.325,0.45826
[;,0.25,1.34164
[=,0.425,0.64031
\-:,-0.25,1.18322
\:,-0.25,0.0
\:<,-0.425,1.18743
\=,-0.275,0.3
\^:,-0.325,0.45826
\o/,0.55,0.9798
\o:,-0.3,0.4
]-:,-0.525,0.53852
]:,-0.4,0.66332
